"","x"
"1","FISK-10.0"
"2","FISK-110.0"
"3","FISK-270.0"
"4","LSA1-30.0"
"5","LSA2-35.0"
"6","LSA2-50.0"
"7","LSA2-55.0"
"8","LSA3-55.0"
"9","LSA3-95.0"
"10","NAN-DB-10.0"
"11","NAN-DB-2.0"
"12","NAN-DB-31.0"
"13","NAN-DB-4.0"
"14","NANA1A-109cm.0"
"15","NANA1A-116cm.0"
"16","NANA2-132.0"
"17","NANA2-50.0"
"18","NANA2-55.0"
"19","NANA2-60.0"
"20","NANA2-65.0"
"21","NANB3A1-131.5.0"
"22","NANB3A2-10.5.0"
"23","NANB3A2-6.0"
"24","NANDB-13.5"
"25","NANDB-17.0"
"26","NANDB-20.0"
"27","SS.0"
"28","WQ.0"
