"dataset.x","dataset.y"
"FISK-10","FISK-10"
"FISK-110","FISK-110"
"FISK-270","FISK-270"
"LSA1-30","LSA1-30A"
"LSA1-30","LSA1-30B"
"LSA2-35","LSA2-35"
"LSA2-50","LSA2-50A"
"LSA2-55","LSA2-55"
"LSA3-55","LSA3-55"
"LSA3-95","LSA3-95A"
"LSA3-95","LSA3-95B"
"NAN-DB-2","NANDB-2"
"NAN-DB-4","NANDB-4"
"NANA1A-109","NANA1A-109"
"NANA1A-116","NANA1A 116"
"NANA2-132","NANA2-132A"
"NANA2-132","NANA2-132B"
"NANA2-132","NANA2-132C"
"NANA2-50","NANA2-50A"
"NANA2-50","NANA2-50B"
"NANA2-55","NANA2-55A"
"NANA2-55","NANA2-55B"
"NANA2-60","NANA2-60A"
"NANA2-60","NANA2-60B"
"NANA2-65","NANA2-65A"
"NANA2-65","NANA2-65B"
"NANB3A1-131.5","NANB3A1-131.5A"
"NANB3A1-131.5","NANB3A1-131.5B"
"NANB3A2-10.5","NANB3A2-10.5"
"NANB3A2-6","NANB3A2-6"
"NANB3A2-6","NANB3A2-6B"
"NANDB-13.5","NANDB-13.5A"
"NANDB-13.5","NANDB-13.5B"
"NANDB-17","NANDB-17A"
"NANDB-17","NANDB-17B"
"NANDB-20","NANDB-20A"
"NANDB-20","NANDB-20B"
"SS","SS"
"WQ","WQ"
